POP,DENSITY,GEONAME,state,state,place
2415,708.6610512,"East Brewton city, Alabama",1,,22216
1026,244.5804938,"Eclectic town, Alabama",1,,22816
202,12.2843548,"Edwardsville town, Alabama",1,,23176
3893,253.8151488,"Elba city, Alabama",1,,23296
1679,244.2187922,"Elberta town, Alabama",1,,23320
127,181.3543089,"Eldridge town, Alabama",1,,23344
469,293.5490188,"Elkmont town, Alabama",1,,23488
1307,331.1487044,"Elmore town, Alabama",1,,23656
50,237.151459,"Emelle town, Alabama",1,,23872
28024,915.2178021,"Enterprise city, Alabama",1,,24184
181,94.3133542,"Epes town, Alabama",1,,24256
73,128.740098,"Ethelsville town, Alabama",1,,24472
12404,208.8596446,"Eufaula city, Alabama",1,,24568
2749,230.3634053,"Eutaw town, Alabama",1,,24664
508,124.7728426,"Eva town, Alabama",1,,24688
3693,236.6806539,"Evergreen city, Alabama",1,,24808
665,403.8702929,"Excel town, Alabama",1,,24880
10807,3114.437763,"Fairfield city, Alabama",1,,25120
19421,1611.595097,"Fairhope city, Alabama",1,,25240
458,169.1403611,"Fairview town, Alabama",1,,25384
1260,333.4449331,"Falkville town, Alabama",1,,25648
92,332.0923195,"Faunsdale town, Alabama",1,,25816
4432,518.3840254,"Fayette city, Alabama",1,,25840
140,135.9540109,"Five Points town, Alabama",1,,26200
1408,276.8502118,"Flomaton town, Alabama",1,,26824
1952,185.3313463,"Florala town, Alabama",1,,26848
39959,1530.740915,"Florence city, Alabama",1,,26896
17607,564.3753067,"Foley city, Alabama",1,,26992
597,170.8650955,"Forkland town, Alabama",1,,27376
1228,216.9052903,"Fort Deposit town, Alabama",1,,27520
14099,250.9224967,"Fort Payne city, Alabama",1,,27616
132,29.54088595,"Franklin town, Alabama",1,,28024
1212,301.037436,"Frisco City town, Alabama",1,,28312
280,279.9171053,"Fruithurst town, Alabama",1,,28432
258,105.2595032,"Fulton town, Alabama",1,,28504
9084,744.8237999,"Fultondale city, Alabama",1,,28552
1017,230.8263023,"Fyffe town, Alabama",1,,28672
35837,960.4720625,"Gadsden city, Alabama",1,,28696
195,113.4416985,"Gainesville town, Alabama",1,,28768
221,340.169166,"Gantt town, Alabama",1,,28936
498,165.5279555,"Garden City town, Alabama",1,,29032
13783,601.2518531,"Gardendale city, Alabama",1,,29056
143,417.1396501,"Gaylesville town, Alabama",1,,29296
159,168.23896,"Geiger town, Alabama",1,,29392
4424,278.7207434,"Geneva city, Alabama",1,,29464
1653,265.0183889,"Georgiana town, Alabama",1,,29560
898,229.2791649,"Geraldine town, Alabama",1,,29608
203,260.5133708,"Gilbertown town, Alabama",1,,29704
492,75.0726113,"Glen Allen town, Alabama",1,,29944
5135,303.2613502,"Glencoe city, Alabama",1,,29992
188,257.2304773,"Glenwood town, Alabama",1,,30160
53,53.7778725,"Goldville town, Alabama",1,,30448
2288,288.3475524,"Good Hope town, Alabama",1,,30496
1324,203.8747846,"Goodwater town, Alabama",1,,30640
1672,514.0133815,"Gordo town, Alabama",1,,30736
327,103.4102697,"Gordon town, Alabama",1,,30760
302,54.49047436,"Gordonville town, Alabama",1,,30808
255,99.5451964,"Goshen town, Alabama",1,,30880
907,491.9623246,"Grant town, Alabama",1,,31096
2107,124.5061452,"Graysville city, Alabama",1,,31384
2365,994.8883485,"Greensboro city, Alabama",1,,31720
7781,364.3544673,"Greenville city, Alabama",1,,31912
542,433.4963621,"Grimes town, Alabama",1,,32056
1478,297.4419667,"Grove Hill town, Alabama",1,,32080
2305,154.1306756,"Guin city, Alabama",1,,32224
11689,442.5810992,"Gulf Shores city, Alabama",1,,32272
8437,332.3512852,"Guntersville city, Alabama",1,,32416
786,223.5703762,"Gurley town, Alabama",1,,32440
170,87.56349228,"Gu-Win town, Alabama",1,,32536
1477,96.69689864,"Hackleburg town, Alabama",1,,32560
101,26.31450012,"Haleburg town, Alabama",1,,32656
4074,489.6189083,"Haleyville city, Alabama",1,,32704
6739,177.0595032,"Hamilton city, Alabama",1,,32848
485,98.94918574,"Hammondville town, Alabama",1,,32896
3288,778.7893208,"Hanceville city, Alabama",1,,32968
1680,79.44677387,"Harpersville town, Alabama",1,,33256
2638,423.0031245,"Hartford city, Alabama",1,,33424
14471,884.8483528,"Hartselle city, Alabama",1,,33448
1338,333.7044205,"Hayden town, Alabama",1,,33640
853,458.3147088,"Hayneville town, Alabama",1,,33712
4741,156.3102155,"Headland city, Alabama",1,,33856
255,286.4664378,"Heath town, Alabama",1,,33904
3474,215.9502647,"Heflin city, Alabama",1,,33976
18673,896.4327103,"Helena city, Alabama",1,,34024
2339,105.0281635,"Henagar city, Alabama",1,,34096
425,260.554155,"Highland Lake town, Alabama",1,,34480
521,276.9239661,"Hillsboro town, Alabama",1,,34816
761,730.0845803,"Hobson City town, Alabama",1,,35152
284,68.80870491,"Hodges town, Alabama",1,,35200
4277,358.5689673,"Hokes Bluff city, Alabama",1,,35392
815,183.691552,"Holly Pond town, Alabama",1,,35560
970,108.795725,"Hollywood town, Alabama",1,,35632
25613,3063.054267,"Homewood city, Alabama",1,,35800
84978,1803.784636,"Hoover city, Alabama",1,,35896
227,88.8326663,"Horn Hill town, Alabama",1,,36088
15561,800.3218076,"Hueytown city, Alabama",1,,36448
193079,904.9369333,"Huntsville city, Alabama",1,,37000
593,574.251811,"Hurtsboro town, Alabama",1,,37096
346,152.4695036,"Hytop town, Alabama",1,,37264
711,130.8109314,"Ider town, Alabama",1,,37312
2544,659.3120719,"Indian Springs Village city, Alabama",1,,37465
12359,713.681058,"Irondale city, Alabama",1,,37864
4907,313.7609261,"Jackson city, Alabama",1,,38152
801,94.06418325,"Jacksons' Gap town, Alabama",1,,38248
12657,1155.664929,"Jacksonville city, Alabama",1,,38272
14003,490.8313153,"Jasper city, Alabama",1,,38416
2616,230.5770025,"Jemison city, Alabama",1,,38608
219,215.4245187,"Kansas town, Alabama",1,,39280
197,203.7579509,"Kellyton town, Alabama",1,,39472
429,139.7820125,"Kennedy town, Alabama",1,,39520
977,482.5798912,"Killen town, Alabama",1,,39784
2964,506.7873409,"Kimberly city, Alabama",1,,39856
2187,180.802197,"Kinsey town, Alabama",1,,40072
539,110.1704973,"Kinston town, Alabama",1,,40096
2968,335.0905181,"La Fayette city, Alabama",1,,40672
143,226.3690474,"Lakeview town, Alabama",1,,40888
2247,1070.903509,"Lake View town, Alabama",1,,40928
6393,1024.145296,"Lanett city, Alabama",1,,41296
264,53.60362345,"Langston town, Alabama",1,,41368
11940,531.0818557,"Leeds city, Alabama",1,,41968
1008,157.1016257,"Leesburg town, Alabama",1,,42016
707,718.044068,"Leighton town, Alabama",1,,42160
122,66.67866739,"Lester town, Alabama",1,,42352
2006,655.7002812,"Level Plains town, Alabama",1,,42472
718,221.9106134,"Lexington town, Alabama",1,,42640
114,219.121722,"Libertyville town, Alabama",1,,42808
6491,258.6310347,"Lincoln city, Alabama",1,,43120
1988,555.5369174,"Linden city, Alabama",1,,43240
2306,257.9671217,"Lineville city, Alabama",1,,43264
2133,1816.242359,"Lipscomb city, Alabama",1,,43336
498,192.5847501,"Lisman town, Alabama",1,,43384
981,197.3022467,"Littleville town, Alabama",1,,43648
3454,484.4103742,"Livingston city, Alabama",1,,43720
199,175.2298581,"Loachapoka town, Alabama",1,,43744
514,472.3703046,"Lockhart town, Alabama",1,,43816
1192,308.8298114,"Locust Fork town, Alabama",1,,43888
477,173.5520372,"Louisville town, Alabama",1,,44344
107,135.1358269,"Lowndesboro town, Alabama",1,,44536
2017,63.3255248,"Loxley town, Alabama",1,,44608
2825,180.5458059,"Luverne city, Alabama",1,,44728
638,59.89911779,"Lynn town, Alabama",1,,44800
225,225.8914468,"McIntosh town, Alabama",1,,45472
508,136.4221246,"McKenzie town, Alabama",1,,45496
9,82.14534613,"McMullen town, Alabama",1,,45640
47959,1619.882855,"Madison city, Alabama",1,,45784
338,174.1841547,"Madrid town, Alabama",1,,45904
802,892.3001611,"Magnolia Springs town, Alabama",1,,46072
1437,102.4923487,"Malvern town, Alabama",1,,46264
703,215.1256776,"Maplesville town, Alabama",1,,46504
4633,471.6989947,"Margaret town, Alabama",1,,46696
3432,324.8225226,"Marion city, Alabama",1,,46768
371,138.3493387,"Maytown town, Alabama",1,,47728
28,72.31443563,"Memphis town, Alabama",1,,48052
366,78.41964807,"Mentone town, Alabama",1,,48064
5171,1949.517425,"Midfield city, Alabama",1,,48376
2366,390.7589287,"Midland City town, Alabama",1,,48400
476,143.8460657,"Midway town, Alabama",1,,48424
15413,1202.317933,"Millbrook city, Alabama",1,,48712
999,181.8742632,"Millport town, Alabama",1,,48808
522,69.69371471,"Millry town, Alabama",1,,48832
192904,1383.816602,"Mobile city, Alabama",1,,50000
6072,454.0520683,"Monroeville city, Alabama",1,,50192
6723,538.7999421,"Montevallo city, Alabama",1,,50312
200022,1251.38359,"Montgomery city, Alabama",1,,51000
12823,523.5090071,"Moody city, Alabama",1,,51096
58,488.3592458,"Mooresville town, Alabama",1,,51264
1933,638.3199536,"Morris town, Alabama",1,,51456
945,199.3913069,"Mosses town, Alabama",1,,51520
3343,557.6960497,"Moulton city, Alabama",1,,51600
2436,531.2733266,"Moundville town, Alabama",1,,51648
20590,1604.866378,"Mountain Brook city, Alabama",1,,51696
1510,275.4977975,"Mount Vernon town, Alabama",1,,52608
822,1337.530564,"Mulga town, Alabama",1,,52776
1249,564.2406691,"Munford town, Alabama",1,,52848
13831,836.7357642,"Muscle Shoals city, Alabama",1,,53016
122,47.01020607,"Myrtlewood town, Alabama",1,,53112
344,1344.837022,"Napier Field town, Alabama",1,,53256
36,83.0034941,"Natural Bridge town, Alabama",1,,53376
211,213.1721437,"Nauvoo town, Alabama",1,,53400
344,189.9906582,"Nectar town, Alabama",1,,53448
89,155.4887297,"Needham town, Alabama",1,,53472
178,153.1432561,"Newbern town, Alabama",1,,53784
1157,144.8826924,"New Brockton town, Alabama",1,,53856
2803,323.7593863,"New Hope city, Alabama",1,,54168
754,76.42712333,"New Site town, Alabama",1,,54432
1459,102.3858318,"Newton town, Alabama",1,,54480
517,128.6682207,"Newville town, Alabama",1,,54600
614,930.9800445,"North Courtland town, Alabama",1,,55044
141,693.3740182,"North Johns town, Alabama",1,,55152
25045,1496.224829,"Northport city, Alabama",1,,55200
850,61.57333623,"Notasulga town, Alabama",1,,55440
511,287.3064089,"Oak Grove town, Alabama",1,,55752
25,44.61576518,"Oak Hill town, Alabama",1,,55848
754,244.6645099,"Oakman town, Alabama",1,,55992
3743,268.0296224,"Odenville town, Alabama",1,,56400
1138,193.0183199,"Ohatchee town, Alabama",1,,56472
6699,433.0058277,"Oneonta city, Alabama",1,,57000
183,231.1073054,"Onycha town, Alabama",1,,57024
29869,500.7235058,"Opelika city, Alabama",1,,57048
6586,278.3146343,"Opp city, Alabama",1,,57120
5981,406.8220081,"Orange Beach city, Alabama",1,,57144
186,179.4336673,"Orrville town, Alabama",1,,57240
1852,223.7478463,"Owens Cross Roads town, Alabama",1,,57504
21120,684.3651385,"Oxford city, Alabama",1,,57576
14610,428.5490913,"Ozark city, Alabama",1,,57648
205,472.9421332,"Paint Rock town, Alabama",1,,57696
960,458.6512779,"Parrish town, Alabama",1,,58272
23050,594.8704738,"Pelham city, Alabama",1,,58848
13794,554.4607286,"Pell City city, Alabama",1,,58896
207,105.498825,"Pennington town, Alabama",1,,58968
641,515.3309033,"Perdido Beach town, Alabama",1,,59088
58,79.05638385,"Petrey town, Alabama",1,,59328
37132,1326.550775,"Phenix City city, Alabama",1,,59472
1273,313.4245704,"Phil Campbell town, Alabama",1,,59496
574,74.2894006,"Pickensville town, Alabama",1,,59592
4666,475.5943011,"Piedmont city, Alabama",1,,59640
8777,277.8065436,"Pike Road town, Alabama",1,,59760
627,117.5592433,"Pinckard town, Alabama",1,,59832
125,40.31910964,"Pine Apple town, Alabama",1,,59880
912,238.953098,"Pine Hill town, Alabama",1,,60240
282,217.3038865,"Pine Ridge town, Alabama",1,,60372
7426,657.4400054,"Pinson city, Alabama",1,,60648
707,147.2783912,"Pisgah town, Alabama",1,,60720
10177,1028.338028,"Pleasant Grove city, Alabama",1,,61008
411,112.7243564,"Pleasant Groves town, Alabama",1,,61038
135,121.3891651,"Pollard town, Alabama",1,,61536
954,192.2314107,"Powell town, Alabama",1,,62075
35606,1066.912691,"Prattville city, Alabama",1,,62328
3297,631.4522335,"Priceville town, Alabama",1,,62472
22185,876.3102191,"Prichard city, Alabama",1,,62496
210,120.3257105,"Providence town, Alabama",1,,62688
1697,101.0820144,"Ragland town, Alabama",1,,63216
9531,374.3769705,"Rainbow City city, Alabama",1,,63288
5015,243.1642678,"Rainsville city, Alabama",1,,63336
407,256.6086824,"Ranburne town, Alabama",1,,63408
3119,320.2516071,"Red Bay city, Alabama",1,,63576
485,252.3539815,"Red Level town, Alabama",1,,63768
628,176.6521864,"Reece City town, Alabama",1,,63984
1616,201.7862925,"Reform town, Alabama",1,,64104
1482,198.1884567,"Rehobeth town, Alabama",1,,64152
266,277.8469556,"Repton town, Alabama",1,,64368
105,127.9462543,"Ridgeville town, Alabama",1,,64656
523,76.51275311,"River Falls town, Alabama",1,,64776
2316,267.2783469,"Riverside town, Alabama",1,,64920
182,126.1944235,"Riverview town, Alabama",1,,65016
5984,319.3847471,"Roanoke city, Alabama",1,,65040
5990,1098.68682,"Robertsdale city, Alabama",1,,65208
444,134.1882362,"Rockford town, Alabama",1,,65472
1220,402.24562,"Rogersville town, Alabama",1,,66216
318,84.39802458,"Rosa town, Alabama",1,,66408
9815,732.1632927,"Russellville city, Alabama",1,,67056
458,78.13845053,"Rutledge town, Alabama",1,,67176
591,160.863038,"St. Florian town, Alabama",1,,67536
1912,528.4576903,"Samson city, Alabama",1,,67800
555,127.3082078,"Sand Rock town, Alabama",1,,67920
245,58.65447102,"Sanford town, Alabama",1,,68016
13942,490.8461005,"Saraland city, Alabama",1,,68160
1771,225.2012765,"Sardis City town, Alabama",1,,68280
6193,830.0691131,"Satsuma city, Alabama",1,,68352
14677,289.7450362,"Scottsboro city, Alabama",1,,68736
754,164.9030588,"Section town, Alabama",1,,69000
18983,1374.662203,"Selma city, Alabama",1,,69120
4155,500.706977,"Semmes city, Alabama",1,,69240
9025,1416.919834,"Sheffield city, Alabama",1,,69648
274,159.9928379,"Shiloh town, Alabama",1,,69840
427,94.05565122,"Shorter town, Alabama",1,,70128
426,81.8180252,"Silas town, Alabama",1,,70416
802,638.7034786,"Silverhill town, Alabama",1,,70536
424,882.3696495,"Sipsey town, Alabama",1,,70704
833,209.2303172,"Skyline town, Alabama",1,,70896
1956,206.1450025,"Slocomb city, Alabama",1,,71040
5341,795.616889,"Smiths Station city, Alabama",1,,71190
841,155.1811518,"Snead town, Alabama",1,,71280
712,259.3549395,"Somerville town, Alabama",1,,71496
8600,452.9876468,"Southside city, Alabama",1,,71832
758,870.761053,"South Vinemont town, Alabama",1,,71900
8327,275.2622715,"Spanish Fort city, Alabama",1,,71976
4251,477.8977205,"Springville city, Alabama",1,,72600
1086,161.7701272,"Steele town, Alabama",1,,72888
1977,256.9236703,"Stevenson city, Alabama",1,,73080
1849,236.012323,"Sulligent city, Alabama",1,,73728
2407,460.7866578,"Sumiton city, Alabama",1,,73848
1244,124.1032147,"Summerdale town, Alabama",1,,73872
769,147.0229161,"Susan Moore town, Alabama",1,,74160
242,119.5536936,"Sweet Water town, Alabama",1,,74304
12540,619.2358463,"Sylacauga city, Alabama",1,,74352
1850,213.8149317,"Sylvania town, Alabama",1,,74400
1509,173.7290408,"Sylvan Springs town, Alabama",1,,74424
15451,605.8151457,"Talladega city, Alabama",1,,74592
162,131.6464562,"Talladega Springs town, Alabama",1,,74616
4759,443.0943247,"Tallassee city, Alabama",1,,74688
6268,984.2064691,"Tarrant city, Alabama",1,,74976
2393,324.6802768,"Taylor town, Alabama",1,,75096
391,194.2244121,"Thomaston town, Alabama",1,,75936
4002,458.3265116,"Thomasville city, Alabama",1,,75960
2052,352.0517586,"Thorsby town, Alabama",1,,76080
1069,398.7407074,"Town Creek town, Alabama",1,,76584
129,188.5299561,"Toxey town, Alabama",1,,76632
627,257.0952699,"Trafford town, Alabama",1,,76680
529,432.134378,"Triana town, Alabama",1,,76824
2164,490.5693336,"Trinity town, Alabama",1,,76872
19191,680.0981392,"Troy city, Alabama",1,,76920
21422,642.8879955,"Trussville city, Alabama",1,,76944
99543,1615.527316,"Tuscaloosa city, Alabama",1,,77256
8434,914.7043606,"Tuscumbia city, Alabama",1,,77280
8722,541.340835,"Tuskegee city, Alabama",1,,77304
387,114.7068676,"Twin town, Alabama",1,,77352
221,269.1338195,"Union town, Alabama",1,,77616
79,142.0267923,"Union Grove town, Alabama",1,,77784
3749,565.6568694,"Union Springs city, Alabama",1,,77880
2388,157.3405221,"Uniontown town, Alabama",1,,77904
9377,854.0687399,"Valley city, Alabama",1,,78204
3741,111.6564822,"Valley Grande city, Alabama",1,,78232
550,158.6194156,"Valley Head town, Alabama",1,,78240
1501,147.4842718,"Vance town, Alabama",1,,78264
1896,322.6207313,"Vernon city, Alabama",1,,78480
34688,1734.035483,"Vestavia Hills city, Alabama",1,,78552
356,74.14864474,"Vina town, Alabama",1,,78984
2118,102.8965587,"Vincent town, Alabama",1,,79008
293,194.9177577,"Vredenburgh town, Alabama",1,,79272
737,506.4599342,"Wadley town, Alabama",1,,79344
276,98.19379504,"Waldo town, Alabama",1,,79488
681,135.466979,"Walnut Grove town, Alabama",1,,79728
3192,326.6310678,"Warrior city, Alabama",1,,79944
198,264.8807582,"Waterloo town, Alabama",1,,80064
148,54.33549474,"Waverly town, Alabama",1,,80256
3076,887.6131716,"Weaver city, Alabama",1,,80352
1396,124.9932458,"Webb town, Alabama",1,,80376
806,230.6901173,"Wedowee town, Alabama",1,,80496
1263,263.2203289,"West Blocton town, Alabama",1,,80928
331,354.7127239,"West Jefferson town, Alabama",1,,81336
1542,85.00596378,"Westover town, Alabama",1,,81504
596,174.7560388,"West Point town, Alabama",1,,81528
8219,778.5959747,"Wetumpka city, Alabama",1,,81720
804,52.54250185,"White Hall town, Alabama",1,,81912
1987,192.071701,"Wilsonville town, Alabama",1,,82848
682,712.5095816,"Wilton town, Alabama",1,,82872
4531,258.2828191,"Winfield city, Alabama",1,,82992
183,117.4227581,"Woodland town, Alabama",1,,83400
1569,221.7443863,"Woodstock town, Alabama",1,,83640
730,110.235337,"Woodville town, Alabama",1,,83664
176,380.5587922,"Yellow Bluff town, Alabama",1,,83976
2373,345.6588541,"York city, Alabama",1,,84096
329,9.681740708,"Adak city, Alaska",2,,65
71,9.136766032,"Akhiok city, Alaska",2,,650
383,182.7391012,"Akiak city, Alaska",2,,870
1036,15.70878875,"Akutan city, Alaska",2,,1090
750,25.3970084,"Alakanuk city, Alaska",2,,1200
222,9.048695009,"Aleknagik city, Alaska",2,,1420
106,35.21498415,"Allakaket city, Alaska",2,,1860
264,29.39574062,"Ambler city, Alaska",2,,1970
333,68.88071211,"Anaktuvuk Pass city, Alaska",2,,2080
298192,174.7279724,"Anchorage municipality, Alaska",2,,3000
271,6.195754604,"Anderson city, Alaska",2,,3220
444,18.18967987,"Angoon city, Alaska",2,,3440
543,84.56611921,"Aniak city, Alaska",2,,3550
86,8.884166351,"Anvik city, Alaska",2,,3880
74,8.466720897,"Atka city, Alaska",2,,4210
237,6.127178304,"Atqasuk city, Alaska",2,,4500
4335,230.1354129,"Barrow city, Alaska",2,,5200
6378,147.6964106,"Bethel city, Alaska",2,,6520
12,6.888821705,"Bettles city, Alaska",2,,6630
399,155.9216527,"Brevig Mission city, Alaska",2,,8740
426,303.1113988,"Buckland city, Alaska",2,,9600
454,79.3698116,"Chefornak city, Alaska",2,,12680
1049,1060.19514,"Chevak city, Alaska",2,,13230
87,7.639801281,"Chignik city, Alaska",2,,13550
126,36.35339352,"Chuathbaluk city, Alaska",2,,14330
63,20.50576136,"Clark's Point city, Alaska",2,,15430
180,15.08280586,"Coffman Cove city, Alaska",2,,16360
122,2.292718032,"Cold Bay city, Alaska",2,,16530
2205,36.77069911,"Cordova city, Alaska",2,,17410
1231,170.9135973,"Craig city, Alaska",2,,17740
126,24.96426301,"Deering city, Alaska",2,,18510
934,55.51497806,"Delta Junction city, Alaska",2,,18620
2364,70.41958793,"Dillingham city, Alaska",2,,18950
118,41.5381591,"Diomede city, Alaska",2,,19060
85,85.11140115,"Eagle city, Alaska",2,,20380
43,2.011386302,"Edna Bay city, Alaska",2,,20970
321,352.2336101,"Eek city, Alaska",2,,21040
106,3.209401863,"Egegik city, Alaska",2,,21150
132,8.111435911,"Ekwok city, Alaska",2,,21810
340,140.4610865,"Elim city, Alaska",2,,22250
804,104.7773477,"Emmonak city, Alaska",2,,22910
32751,1033.392833,"Fairbanks city, Alaska",2,,24230
42,1.556438075,"False Pass city, Alaska",2,,24660
554,76.44039216,"Fort Yukon city, Alaska",2,,26760
488,27.53595411,"Galena city, Alaska",2,,27530
701,64.31373134,"Gambell city, Alaska",2,,27640
160,42.96835124,"Golovin city, Alaska",2,,29180
272,73.03830579,"Goodnews Bay city, Alaska",2,,29290
213,19.42939792,"Grayling city, Alaska",2,,30060
428,11.76109212,"Gustavus city, Alaska",2,,30940
173,5.730182565,"Holy Cross city, Alaska",2,,33030
5631,407.2139438,"Homer city, Alaska",2,,33140
745,124.046204,"Hoonah city, Alaska",2,,33360
1180,143.5409599,"Hooper Bay city, Alaska",2,,33470
